first_name,korean
Kyung-bin,경빈
Kyung-eun,경은
Kyung-hwan,경환
Kyung-min,경민
Kyung-mo,경모
Kyung-mook,경묵
Kyung-won,경원
Lachlan,라클란
Lake,레이크
Lance,랜스
Landen,랜든
Landon,랜든
Lane,레인
Lars,라스
Lawrence,로렌스
Lee-Jun,이준
Lenyn,레닌
Leo,레오
Leody,레오디
Lewin,루윈
Liam,리암
Liover,리오버
Logan,로건
Louis,루이스
Lourdes,구리엘
Lucas,루카스
Luis,루이스
Luisangel,루이스안헬
Luke,루크
MacKenzie,맥켄지
Maikel,마이켈
Manny,매니
Manuel,마누엘
Marcell,마르셀
Marcelo,마르셀로
Marcus,마커스
Mark,마크
Masataka,마사타카
Mason,메이슨
Masyn,메이슨
Matt,맷
Matthew,매튜
Mauricio,마ורי시오
Max,맥스
Maximo,맥시모
McCade,맥케이드
Merrill,메릴
Mi-reu,미르
Michael,마이클
Mick,믹
Mickey,미키
Miguel,미겔
Mike,마이크
Miles,마일스
Min,민
Min-chul,민철
Min-ho,민호
Min-hyuk,민혁
Min-jae,민재
Min-je,민제
Min-joo,민주
Min-joon,민준
Min-jun,민준
Min-ki,민기
Min-kyu,민규
Min-kyun,민균
Min-seo,민서
Min-seok,민석
Min-seong,민성
Min-sik,민식
Min-soo,민수
Min-sung,민성
Min-woo,민우
Mit-eum,믿음
Mitch,미치
Moises,모이세스
Moo-bin,무빈
Moo-won,무원
Mookie,무키
Moon-hyuk,문혁
Moon-soo,문수
Mu-shin,무신
Munetaka,무네타카
Myeong-kyung,명경
Myeong-seong,명성
Myeong-shin,명신
Myles,마일스
Myung-geun,명근
Myung-hyun,명현
Myung-jin,명진
Myung-jong,명종
Myung-jun,명준
Myung-ki,명기
Myung-kyu,명규
Myung-seung,명승
Nasim,나심
Nate,네이트
Nathan,네이튼
Nathaniel,나다니엘
Natsuki,나츠키
Nick,닉
Nico,니코
Noah,노아
Noelvi,노엘비
Nok-won,녹원
Nolan,놀란
Oneil,오닐
Orion,오라이언
Osvaldo,오스발도
Oswald,오스왈드
Otto,오토
Owen,오웬
Ozzie,아지
Pablo,파블로
Parker,파커
Patrick,패트릭
Paul,폴
Pavin,페이빈
Paxton,팩스턴
Pedro,페드로
Pete,피트
Peter,피터
Peyton,페이튼
Phil,필
Pierce,피어스
Pierson,피어슨
PJ,PJ
Porter,포터
Prelander,프렐란더
Quinn,퀸
Rafael,라파엘
Raisel,라이셀
Ramon,라몬
Randal,랜달
Randy,랜디
Ranger,레인저
Raul,라울
Ree-an,리안
Reed,리드
Reese,리스
Reid,리드
Reiver,레이버
Reynaldo,레이날도
Rhett,렛
Ricardo,리카르도
Richard,리처드
Richie,리치
Rico,리코
Riley,라일리
RJ,RJ
Ro-geon,로건
Ro-hwa,로화
Ro-kyeol,로결
Ro-woon,로운
Rob,롭
Robbie,로비
Robert,로버트
Roddery,로더리
Roki,로키
Roman,로만
Romy,로미
Ron,론
Ronald,로날드
Ronel,로넬
Ronny,로니
Rowan,로완
Royce,로이스
Ru-geon,루건
Ryan,라이언
Ryne,라인
Sa-min,사민
Sa-yoon,사윤
Sae-woong,세웅
Sal,살
Salvador,살바도르
Sam,샘
Samad,사마드
Samuel,사무엘
San-heum,산흠
Sandy,샌디
Sang-baek,상백
Sang-beom,상범
Sang-cheol,상철
Sang-dong,상동
Sang-eon,상언
Sang-ho,상호
Sang-hoo,상후
Sang-hoon,상훈
Sang-hyuk,상혁
Sang-hyun,상현
Sang-in,상인
Sang-joon,상준
Sang-kyu,상규
Sang-min,상민
Sang-soo,상수
Sang-won,상원
Sang-woo,상우
Sang-yeon,상연
Sang-young,상영
Santiago,산티아고
Sawyer,소이어
Scott,스콧
Se-hoon,세훈
Se-hyeon,세현
Se-hyuk,세혁
Se-hyun,세현
Se-il,세일
Se-jik,세직
Se-jin,세진
Se-min,세민
Se-young,세영
Sean,션
Seiya,세이야
Seo-hyun,서현
Seo-jin,서진
Seo-joon,서준
Seo-jun,서준
Seo-ku,서구
Seok-hwan,석환
Seok-hyun,석현
Seok-won,석원
Seon-bin,선빈
Seon-gi,선기
Seon-jin,선진
Seon-woo,선우
Seon-yeop,선엽
Seong-beom,성범
Seong-bin,성빈
Seong-bo,성보
Seong-han,성한
Seong-ho,성호
Seong-hwan,성환
Seong-hyeon,성현
Seong-jae,성재
Seong-jin,성진
Seong-ju,성주
Seong-jun,성준
Seong-won,성원
Seong-wook,성욱
Seranthony,세란토니
Seth,세스
Seung-bin,승빈
Seung-cheol,승철
Seung-eon,승언
Seung-geon,승건
Seung-heon,승헌
Seung-ho,승호
Seung-hoon,승훈
Seung-hyeok,승혁
Seung-hyeon,승현
Seung-hyun,승현
Seung-il,승일
Seung-jae,승재
Seung-joo,승주
Seung-joon,승준
Seung-ki,승기
Seung-koo,승구
Seung-kyu,승규
Seung-min,승민
Seung-soo,승수
Seung-taek,승택
Seung-wan,승완
Seung-won,승원
Seung-woo,승우
Seung-wook,승욱
Seung-yeon,승연
Seung-Yeop,승엽
Seung-yoon,승윤
Seung-young,승영
Shane,셰인
Shawn,숀
Shea,셰이
Shelby,쉘비
Shi-hoo,시후
Shi-young,시영
Shin-ji,신지
Shohei,쇼헤이
Shota,쇼타
Si-ang,시앙
Si-hoo,시후
Si-hun,시훈
Si-hwan,시환
Si-hyun,시현
Si-on,시온
Si-won,시원
Simeon,시메온
Slade,슬레이드
Song-chan,송찬
Sonny,소니
Soo-bin,수빈
Soo-dong,수동
Soo-haeng,수행
Soo-ho,수호
Soo-jong,수종
Soo-nyeong,수녕
Soo-yoon,수윤
Spencer,스펜서
Starling,스타를링
Stephen,스티븐
Steven,스티븐
Steward,스티워드
Sugimoto,스기모토
Suk-jin,석진
Suk-joo,석주
Sun-ryul,선률
Sun-woo,선우
Sung-bin,성빈
Sung-heon,성헌
Sung-ho,성호
Sung-jae,성재
Sung-jin,성진
Sung-jong,성종
Sung-joon,성준
Sung-kyu,성규
Sung-kyung,성경
Sung-min,성민
Sung-mun,성문
Sung-woo,성우
Sung-youn,성윤
Sung-Yung,성융
Tae-eon,태언
Tae-gun,태군
Tae-ho,태호
Tae-hoon,태훈
Tae-hun,태훈
